품명	단위	단가	LT	소비자가	코드
*501양조간장/1.8L	병	12900	1	12900	h0001
*55리터 검은비닐	묶음	3500	1	3500	h0002
*55리터 투명비닐	묶음	3500	1	3500	h0003
*55리터 흰비닐	묶음	3500	1	3500	h0004
*Boiron 망고 퓨레(100%) 1kg	EA	30250	1	30250	h0005
*JOOS/엑스트라버진올리브오일/5L	병	34000	1	34000	h0006
*Kirkland 엑스트라버진 올리브오일/스페인 3L	EA	25900	1	25900	h0007
*MILA 마스카포네/500g	EA	8900	1	8900	h0008
*강낭콩(키드니빈스)/2.5KG	캔	6100	1	6100	h0009
*강낭콩(키드니빈스)/400g	봉	1320	1	1320	h0010
*강화당/50g	봉	950	1	950	h0011
*건로즈마리홀/신영/200g	통	4500	1	4500	h0012
*건포도/수입	kg	5400	1	5400	h0013
*고추맛기름/미담채/1.8L	ea	8300	1	8300	h0014
*고추맛기름/영미/1.8L	EA	8300	1	8300	h0015
*고추장(해찬들)/3kg	EA	28500	1	28500	h0016
*고추장/해찬들 태양초/14kg	통	68500	1	68500	h0017
*곤약/면곤약	봉	2900	1	2900	h0018
*골드마요네즈/오뚜기/3.2kg	통	14700	1	14700	h0019
*구운베이컨/선인/500G	EA	16500	1	16500	h0020
*굵은 흑후추분말/400g	EA	7950	1	7950	h0021
*굵은후추가루/미드미	EA	6900	1	6900	h0022
*그라나파다노	kg	22500	1	22500	h0023
*그라나파다노 200g	ea	5500	1	5500	h0024
*그래놀라/동서/1kg	ea	9000	1	9000	h0025
*그린빈스(냉동)/1kg	봉	3200	1	3200	h0026
*기꼬만 혼쯔유(4배농축)/500ml	병	7370	1	7370	h0027
*김밥용김/50장/100G	EA	5400	1	5400	h0028
*꿀유자차/고흥/2KG	EA	11000	1	11000	h0029
*냉동고구마15mm 2.5kg	EA	13000	1	13000	h0030
*냉동대파(슬/5mm)/중국/1KG	EA	2800	1	2800	h0031
*냉동망고다이스/우양냉동/1KG*10	EA	6000	1	6000	h0032
*냉동연어필렛/영국산/KG	kg	20000	1	20000	h0033
*냉동연어필렛/칠레산/kg	kg	21500	1	21500	h0034
*냉동청양고추슬라이스/마당발/1KG	EA	3900	1	3900	h0035
*냉동트리플베리	kg	10500	1	10500	h0036
*네프킨/테이블네프킨/8,000매	box	12000	1	12000	h0037
*다사랑 포두부(15매) 1kg	개	10500	1	10500	h0038
*다이쇼 시로다시/맑은다시 1L	EA	7900	1	7900	h0039
*다이야몬드냉동새우(26-30)	봉	16000	1	16000	h0040
