user,code,quantity,target_date,store,name,unit,LT,price,buy_price,status,order_id
ohhsalad,100001,2,2022-03-02,언주,샐러드믹스/전처리,1Kg/PAC,1,6000,6000,주문완료,oid55628422
ohhsalad,100002,2,2022-03-02,언주,피양파,1Kg,1,1500,1500,주문완료,oid6043495
ohhsalad,100003,2,2022-03-02,언주,계란/특란,1판,1,5700,5700,주문완료,oid71535365
ohhsalad,100004,2,2022-03-02,언주,우삼겹양지슬라이스,2Kg/PAC,1,17000,17000,주문완료,oid58532388
ohhsalad,100005,1,2022-03-02,언주,방울토마토,5Kg/Box,1,39000,39000,주문완료,oid41246612
ohhsalad,100001,2,2022-03-03,언주,샐러드믹스/전처리,1Kg/PAC,1,6000,6000,주문완료,oid76283993
ohhsalad,100002,2,2022-03-03,언주,피양파,1Kg,1,1500,1500,주문완료,oid68247109
ohhsalad,100003,2,2022-03-03,언주,계란/특란,1판,1,5700,5700,주문완료,oid9726942
ohhsalad,100004,1,2022-03-03,언주,우삼겹양지슬라이스,2Kg/PAC,1,17000,17000,주문완료,oid29539593
ohhsalad,100001,2,2022-03-04,언주,샐러드믹스/전처리,1Kg/PAC,1,6000,6000,주문완료,oid71770985
ohhsalad,100002,2,2022-03-04,언주,피양파,1Kg,1,1500,1500,주문완료,oid35196993
ohhsalad,100003,2,2022-03-04,언주,계란/특란,1판,1,5700,5700,주문완료,oid89162141
ohhsalad,100002,2,2022-03-07,언주,피양파,1Kg,1,1500,1500,주문완료,oid6922693
ohhsalad,100003,2,2022-03-07,언주,계란/특란,1판,1,5700,5700,주문완료,oid34420625
ohhsalad,100004,2,2022-03-07,언주,우삼겹양지슬라이스,2Kg/PAC,1,17000,17000,주문완료,oid87250607
ohhsalad,100005,1,2022-03-07,언주,방울토마토,5Kg/Box,1,39000,39000,주문완료,oid70985669
ohhsalad,100001,2,2022-03-08,언주,샐러드믹스/전처리,1Kg/PAC,1,6000,6000,주문완료,oid25116500
ohhsalad,100002,2,2022-03-08,언주,피양파,1Kg,1,1500,1500,주문완료,oid24516189
ohhsalad,100003,2,2022-03-08,언주,계란/특란,1판,1,5700,5700,주문완료,oid95587793
ohhsalad,100005,1,2022-03-08,언주,방울토마토,5Kg/Box,1,39000,39000,주문완료,oid65243665
ohhsalad,100001,2,2022-03-09,언주,샐러드믹스/전처리,1Kg/PAC,1,6000,6000,주문완료,oid3174759
ohhsalad,100002,2,2022-03-09,언주,피양파,1Kg,1,1500,1500,주문완료,oid53379182
ohhsalad,100003,2,2022-03-09,언주,계란/특란,1판,1,5700,5700,주문완료,oid2757224
ohhsalad,100004,1,2022-03-09,언주,우삼겹양지슬라이스,2Kg/PAC,1,17000,17000,주문완료,oid40045099
ohhsalad,100001,2,2022-03-10,언주,샐러드믹스/전처리,1Kg/PAC,1,6000,6000,주문완료,oid66841215
ohhsalad,100002,2,2022-03-10,언주,피양파,1Kg,1,1500,1500,주문완료,oid97637904
ohhsalad,100003,2,2022-03-10,언주,계란/특란,1판,1,5700,5700,주문완료,oid47119749
ohhsalad,100004,2,2022-03-10,언주,우삼겹양지슬라이스,2Kg/PAC,1,17000,17000,주문완료,oid54534630
ohhsalad,100002,2,2022-03-11,언주,피양파,1Kg,1,1500,1500,주문완료,oid52632165
ohhsalad,100003,2,2022-03-11,언주,계란/특란,1판,1,5700,5700,주문완료,oid78752467
ohhsalad,100005,1,2022-03-11,언주,방울토마토,5Kg/Box,1,39000,39000,주문완료,oid35581419
ohhsalad,100002,4,2022-03-14,언주,피양파,1Kg,1,1500,1500,주문완료,oid70157527
ohhsalad,100003,2,2022-03-14,언주,계란/특란,1판,1,5700,5700,주문완료,oid91944737
ohhsalad,100004,1,2022-03-14,언주,우삼겹양지슬라이스,2Kg/PAC,1,17000,17000,주문완료,oid27675410
ohhsalad,100002,2,2022-03-15,언주,피양파,1Kg,1,1500,1500,주문완료,oid26429425
ohhsalad,100003,2,2022-03-15,언주,계란/특란,1판,1,5700,5700,주문완료,oid36517245
ohhsalad,100001,2,2022-03-16,언주,샐러드믹스/전처리,1Kg/PAC,1,6000,6000,주문완료,oid25040175
ohhsalad,100002,2,2022-03-16,언주,피양파,1Kg,1,1500,1500,주문완료,oid86929013
ohhsalad,100003,2,2022-03-16,언주,계란/특란,1판,1,5700,5700,주문완료,oid5499080
ohhsalad,100004,1,2022-03-16,언주,우삼겹양지슬라이스,2Kg/PAC,1,17000,17000,주문완료,oid39504810
