날짜	매출처	품명	원산지	비고	수량	단위	단가	V	가액	세액	금액	status	user_id
2022-03-01	싱싱샐러드/건대	양파/피/15kg	국내산		1	망	13000		13000		13000	주문완료	etc
2022-03-01	싱싱샐러드/건대	베이비채소/500g	국내산		1	팩	5000		5000		5000	주문완료	etc
2022-03-01	싱싱샐러드/건대	단호박/피/10kg	국내산		1	box	23000		23000		23000	주문완료	etc
2022-03-01	싱싱샐러드/건대	새송이버섯/2kg	국내산		1	box	8500		8500		8500	주문완료	etc
2022-03-01	싱싱샐러드/건대	맛타리버섯	국내산		1	box	11000		11000		11000	주문완료	etc
2022-03-01	싱싱샐러드/건대	방울토마토/대추/750g	국내산		4	팩	6250		25000		25000	주문완료	etc
2022-03-01	싱싱샐러드/건대	양상추/피/8kg*12통/수입	수입산		1	box	21000		21000		21000	주문완료	etc
2022-03-01	싱싱샐러드/건대	마늘/다진	국내산		1	kg	8500		8500		8500	주문완료	etc
2022-03-01	싱싱샐러드/건대	계란/특란	국내산		6	판	5700		34200		34200	주문완료	etc
2022-03-01	싱싱샐러드/건대	고운고추가루/수입산/1kg			2.5	kg	9400		23500		23500	주문완료	etc
2022-03-01	싱싱샐러드/건대	굵은후추가루/미드미			1	EA	6900	/	6273	627	6900	주문완료	etc
2022-03-01	싱싱샐러드/건대	꽃소금/해표/호주산90%+10%/3KG			1	EA	3350	/	3046	304	3350	주문완료	etc
2022-03-01	싱싱샐러드/건대	*우유/서울멸균우유/1L	국내산		1	통	2000		2000		2000	주문완료	etc
2022-03-01	싱싱샐러드/건대	모듬해물/0.8KG			5	봉	5500		27500		27500	주문완료	etc
2022-03-01	싱싱샐러드/건대	*두절탈각새우(31/40)			5	봉	15200	/	69091	6909	76000	주문완료	etc
2022-03-01	싱싱샐러드/건대	아몬드슬라이스/대한/1KG			1	봉	11700	/	10637	1063	11700	주문완료	etc
2022-03-01	싱싱샐러드/건대	연어/생연어			7.21	kg	19000		136990		136990	주문완료	etc
2022-03-01	싱싱샐러드/건대	판두부			3	kg	1333		4000		4000	주문완료	etc
2022-03-01	싱싱샐러드/건대	훈제연어/칠레산			3.19	KG	16000		51040		51040	주문완료	etc
2022-03-01	싱싱샐러드/건대	*시아스/감자샐러드/1kg			1	개	6350	/	5773	577	6350	주문완료	etc
2022-03-01	싱싱샐러드/건대	날치알/레드/800g			1	팩	17000	/	15455	1545	17000	주문완료	etc
2022-03-01	싱싱샐러드/건대	*시아스/단호박샐러드/1kg			1	개	5300	/	4819	481	5300	주문완료	etc
2022-03-01	싱싱샐러드/건대	돌자반/500G			2	EA	8600	/	15637	1563	17200	주문완료	etc
2022-03-01	싱싱샐러드/건대	레몬쥬스/리고/1L			1	EA	4100	/	3728	372	4100	주문완료	etc
2022-03-01	싱싱샐러드/건대	*매일 리코다 비에스(상하)1kg			1	봉	14000	/	12728	1272	14000	주문완료	etc
2022-03-01	싱싱샐러드/건대	마른빵가루/동원/1KG			1	EA	3000	/	2728	272	3000	주문완료	etc
2022-03-01	싱싱샐러드/건대	맛참기름/업소용			1	통	6700	/	6091	609	6700	주문완료	etc
2022-03-01	싱싱샐러드/건대	*발사믹식초/델라/5L*2			1	ea	20000	/	18182	1818	20000	주문완료	etc
2022-03-01	싱싱샐러드/건대	베이컨/백설/CJ/1KG			2	EA	16500	/	30000	3000	33000	주문완료	etc
2022-03-01	싱싱샐러드/건대	*올리브/블랙올리브슬라이스(리치스)/3KG			2	캔	7150	/	13000	1300	14300	주문완료	etc
2022-03-01	싱싱샐러드/건대	사이다/355ml			1	box	18500	/	16819	1681	18500	주문완료	etc
2022-03-01	싱싱샐러드/건대	*스위트콘/리치스옥수수/동서/2.95K			2	캔	4050	/	7364	736	8100	주문완료	etc
2022-03-01	싱싱샐러드/건대	*라폰테스파게티면500g			1	box	22500	/	20455	2045	22500	주문완료	etc
2022-03-01	싱싱샐러드/건대	*식용유/신세계/18리터*1			1	ea	48000	/	43637	4363	48000	주문완료	etc
2022-03-01	싱싱샐러드/건대	쌀국수/몬/3mm*24			1	box	30500	/	27728	2772	30500	주문완료	etc
2022-03-01	싱싱샐러드/건대	양파가루그래뉼/삼조/400g			1	EA	9000	/	8182	818	9000	주문완료	etc
2022-03-01	싱싱샐러드/건대	영콘/화풍/425G			10	EA	1050	/	9546	954	10500	주문완료	etc
2022-03-01	싱싱샐러드/건대	올리브오일/EV/쥬스/5L			1	EA	37000	/	33637	3363	37000	주문완료	etc
2022-03-01	싱싱샐러드/건대	자동식기용린스/20KG			1	통	11500	/	10455	1045	11500	주문완료	etc
2022-03-01	싱싱샐러드/건대	자동식기용세제/13KG			1	통	11500	/	10455	1045	11500	주문완료	etc
2022-03-01	싱싱샐러드/건대	제로콜라/355mm			1	BOX	24000	/	21819	2181	24000	주문완료	etc
2022-03-01	싱싱샐러드/건대	체다피자치즈/코다노/레드/2.5KG			1	EA	24000	/	21819	2181	24000	주문완료	etc
